Data: 20/05/2026
Posizione,Progetto,Classe,Versione,Numero Smell,Tempo di Refactoring,Debito Tecnico
96,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/widgets/ProgressesPanel.java,5.0.0,1,270,37.5
97,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/RealmWizardBuilder.java,5.0.0,4,1260,37.5
98,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/any/AnyObjectDetails.java,5.0.0,1,300,37.0
99,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/search/FIQLQueries.java,5.0.0,1,330,36.7
100,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/policies/PropagationPolicyDirectoryPanel.java,5.0.0,4,384,36.6
101,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/clientapps/CASSPDirectoryPanel.java,5.0.0,2,368,36.1
102,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/pages/DismissMfa.java,5.0.0,4,965,36.1
103,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/preview/BinaryImagePreviewer.java,5.0.0,1,270,36.0
104,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/panels/OIDC.java,5.0.0,6,1590,35.6
105,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/NonI18nPalette.java,5.0.0,1,330,35.5
106,SYNCOPE,ext/flowable/client-enduser/src/main/java/org/apache/syncope/client/enduser/pages/Flowable.java,5.0.0,4,1290,35.2
107,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/ajax/form/IndicatorAutoCompleteBehavior.java,5.0.0,3,274,35.1
108,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/PushTaskFilters.java,5.0.0,3,548,35.1
109,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/pages/Realms.java,5.0.0,7,1570,35.1
110,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/pages/BaseMfaEnroll.java,5.0.0,7,1414,34.7
111,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/TextFieldPanel.java,5.0.0,2,302,34.7
112,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/pages/SelfPasswordReset.java,5.0.0,9,1824,34.5
113,SYNCOPE,ext/flowable/client-console/src/main/java/org/apache/syncope/client/console/pages/Flowable.java,5.0.0,1,330,34.4
114,SYNCOPE,ext/saml2sp4ui/client-console/src/main/java/org/apache/syncope/client/console/panels/ImportMetadata.java,5.0.0,2,630,34.4
115,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/status/ResourceStatusModal.java,5.0.0,3,545,34.3
116,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/search/GroupSelectionDirectoryPanel.java,5.0.0,1,390,34.2
117,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/search/UserSelectionDirectoryPanel.java,5.0.0,1,390,34.2
118,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/MacroTaskExecWizardBuilder.java,5.0.0,3,840,33.7
119,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/search/AnyObjectSelectionDirectoryPanel.java,5.0.0,1,390,33.3
120,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/DelegationSelectionPanel.java,5.0.0,1,330,33.3
121,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/AjaxGridBottomToolbar.java,5.0.0,6,903,33.1
122,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/pages/SelfConfirmPasswordReset.java,5.0.0,3,930,33.0
123,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/pages/EditUser.java,5.0.0,1,330,32.4
124,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/widgets/ExtAlertWidget.java,5.0.0,2,272,32.4
125,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/pages/BaseLogin.java,5.0.0,11,2322,32.3
126,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/search/SaveFIQLQuery.java,5.0.0,2,630,32.3
127,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/role/RoleWizardBuilder.java,5.0.0,6,1188,32.2
128,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/status/AnyStatusModal.java,5.0.0,1,270,32.1
129,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/DomainWizardBuilder.java,5.0.0,21,2024,32.0
130,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/PullTaskDirectoryPanel.java,5.0.0,1,420,31.8
131,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/TemplatesTogglePanel.java,5.0.0,6,1442,31.8
132,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/RealmPropagationTaskDirectoryPanel.java,5.0.0,1,390,31.7
133,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/events/EventSelectionPanel.java,5.0.0,6,1442,31.0
134,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/reports/ReportExecutionDetails.java,5.0.0,2,630,30.9
135,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/CommandComposeWizardBuilder.java,5.0.0,4,1200,30.5
136,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/clientapps/SAML2SPDirectoryPanel.java,5.0.0,7,408,30.2
137,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wicket/markup/html/form/ImageModalPanel.java,5.0.0,2,271,30.1
138,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/wizards/SyncopeWizardButtonBar.java,5.0.0,3,542,30.1
139,SYNCOPE,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/task/AbstractInboundTask.java,5.0.0,3,305,29.9
140,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/pages/Engagements.java,5.0.0,2,690,29.9
141,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/AjaxDateTimeFieldPanel.java,5.0.0,3,380,29.5
142,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/LiveSyncTaskDirectoryPanel.java,5.0.0,2,690,29.5
143,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/any/PlainAttrs.java,5.0.0,15,2050,29.5
144,SYNCOPE,wa/starter/src/main/java/org/apache/syncope/wa/starter/pac4j/saml/WASAML2MetadataResolver.java,5.0.0,1,300,29.4
145,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/policies/AuthPolicyDirectoryPanel.java,5.0.0,1,360,29.3
146,SYNCOPE,core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/entity/task/Neo4jInboundTask.java,5.0.0,3,305,29.0
147,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/ParametersWizardSchemaStep.java,5.0.0,2,278,29.0
148,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/AnyPropagationTaskDirectoryPanel.java,5.0.0,1,390,28.9
149,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/resources/ConnectorDetailsPanel.java,5.0.0,17,1320,28.6
150,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/pages/NetworkServices.java,5.0.0,1,300,28.6
151,SYNCOPE,ext/scimv2/client-console/src/main/java/org/apache/syncope/client/console/panels/SCIMConfGroupPanel.java,5.0.0,2,280,28.3
152,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/pages/AbstractMustChangePassword.java,5.0.0,3,632,28.1
153,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/wizards/AuthModuleWizardBuilder.java,5.0.0,11,2003,28.1
154,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/panels/SRARouteFilterPanel.java,5.0.0,4,908,28.0
155,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/AttrWizardBuilder.java,5.0.0,3,282,27.6
156,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/CommandsPanel.java,5.0.0,1,330,27.5
157,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/reports/ReportWizardBuilder.java,5.0.0,9,1442,27.5
158,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/any/LinkedAccountCredentialsPanel.java,5.0.0,5,953,27.2
159,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/clientapps/OIDCRPDirectoryPanel.java,5.0.0,3,376,27.2
160,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/AbstractMultiPanel.java,5.0.0,8,1222,27.0
161,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/pages/Implementations.java,5.0.0,1,300,27.0
162,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/status/LinkedAccountStatusPanel.java,5.0.0,1,300,27.0
163,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/MembersTogglePanel.java,5.0.0,4,637,26.9
164,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/any/LinkedAccountPlainAttrsPanel.java,5.0.0,11,1610,26.8
165,SYNCOPE,ext/oidcc4ui/client-console/src/main/java/org/apache/syncope/client/console/pages/OIDCC4UI.java,5.0.0,1,330,26.8
166,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/panels/ResultPanel.java,5.0.0,1,270,26.5
167,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/pages/Audit.java,5.0.0,3,575,26.3
168,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/resources/ProvisionWizardBuilder.java,5.0.0,8,1406,26.3
169,SYNCOPE,ext/oidcc4ui/client-common-ui/src/main/java/org/apache/syncope/client/ui/commons/panels/AbstractOIDCSSOLoginFormPanel.java,5.0.0,3,542,26.2
170,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/widgets/UserProfileWidget.java,5.0.0,2,275,26.2
171,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/mapping/ItemTransformersTogglePanel.java,5.0.0,3,635,26.1
172,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/policies/PushPolicyDirectoryPanel.java,5.0.0,2,368,26.1
173,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/panels/SRARoutePredicatePanel.java,5.0.0,5,916,26.1
174,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/policies/TicketExpirationPolicyDirectoryPanel.java,5.0.0,1,360,26.1
175,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/StyledNotificationBehavior.java,5.0.0,3,280,25.9
176,SYNCOPE,ext/saml2sp4ui/client-common-ui/src/main/java/org/apache/syncope/client/ui/commons/panels/AbstractSAMLSSOLoginFormPanel.java,5.0.0,3,542,25.8
177,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/widgets/JobActionPanel.java,5.0.0,5,938,25.8
178,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/authprofiles/AuthProfileWizardBuilder.java,5.0.0,6,632,25.7
179,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/authprofiles/AuthProfilePanel.java,5.0.0,1,330,25.6
180,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/policies/InboundPolicyDirectoryPanel.java,5.0.0,2,368,25.6
181,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/pages/ReauthLogin.java,5.0.0,1,300,25.6
182,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/widgets/RemediationsWidget.java,5.0.0,2,305,25.4
183,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/policies/TicketExpirationPolicyModalPanel.java,5.0.0,2,570,25.3
184,SYNCOPE,ext/flowable/client-enduser/src/main/java/org/apache/syncope/client/enduser/panels/UserRequestDetails.java,5.0.0,2,600,25.3
185,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/audit/AuditHistoryModal.java,5.0.0,2,272,25.2
186,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/resources/ConnectorConfPanel.java,5.0.0,3,307,25.0
187,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/resources/ResourceConnCapabilitiesPanel.java,5.0.0,4,583,24.9
188,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/CSVPullWizardBuilder.java,5.0.0,14,1735,24.8
189,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/any/Details.java,5.0.0,5,647,24.8
190,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/panels/SRAStatisticsPanel.java,5.0.0,4,840,24.8
191,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/panels/SimpleListViewPanel.java,5.0.0,5,1085,24.4
192,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/pages/MustChangePassword.java,5.0.0,1,270,24.3
